dataset,column,rows,missing_count,missing_ratio,distinct_nonempty,duplicate_id_rows
resumes,resume_id,328,55,0.1677,264,10
resumes,name,328,0,0.0,199,0
resumes,gender,328,4,0.0122,2,0
resumes,age,328,0,0.0,30,0
resumes,education,328,0,0.0,13,0
resumes,school,328,0,0.0,140,0
resumes,major,328,0,0.0,21,0
resumes,years_experience,328,0,0.0,41,0
resumes,skills,328,0,0.0,269,0
resumes,certifications,328,207,0.6311,66,0
resumes,work_history,328,0,0.0,328,0
resumes,expected_salary,328,0,0.0,67,0
resumes,location,328,0,0.0,86,0
resumes,contact,328,0,0.0,83,0
jobs,job_id,56,20,0.3571,28,9
jobs,job_title,56,0,0.0,29,0
jobs,department,56,0,0.0,25,0
jobs,location,56,0,0.0,49,0
jobs,education_required,56,0,0.0,9,0
jobs,experience_required,56,0,0.0,29,0
jobs,skills_required,56,0,0.0,47,0
jobs,skills_preferred,56,1,0.0179,51,0
jobs,salary_range,56,0,0.0,53,0
jobs,job_description,56,0,0.0,56,0
jobs,responsibilities,56,0,0.0,55,0
jobs,requirements,56,0,0.0,56,0
