canonical_skill,mentions,resume_mentions,required_mentions,preferred_mentions,raw_variants,variant_count,source_coverage
Python,400,353,45,2,Py | py | python | Python | PYTHON,5,3
SQL,371,316,54,1,sql | SQL,2,3
Linux,203,165,33,5,Linux,1,3
Pandas,171,151,14,6,pandas | Pandas | PANDAS,3,3
Docker,152,110,13,29,docker | Docker,2,3
Spark,151,104,19,28,Apache Spark | pyspark | spark | Spark,4,3
Tableau,136,121,6,9,tableau | Tableau,2,3
MySQL,121,99,22,0,MySQL | mysql,2,2
Data Analysis,113,101,10,2,Data Analysis | 数据分析 | 数据统计,3,3
Excel,85,79,5,1,Excel,1,3
Spring,84,74,10,0,spring | Spring | SPRING,3,2
Hadoop,75,51,10,14,hadoop | Hadoop,2,3
Java,75,62,12,1,Java | java,2,3
Hive,74,51,13,10,Hive | hive,2,3
NumPy,73,68,3,2,Numpy | NumPy | numpy,3,3
Machine Learning,69,50,4,15,Machine Learning | 机器学习,2,3
PowerBI,67,58,4,5,powerbi | PowerBI,2,3
Data Visualization,61,55,4,2,Data Visualization | 数据可视化,2,3
ETL,54,45,3,6,etl | ETL,2,3
Flink,50,34,8,8,flink | Flink,2,3
Django,10,10,0,0,Django,1,1
excel,8,8,0,0,excel,1,1
Flask,4,4,0,0,Flask,1,1
linux,4,2,2,0,linux,1,2
machine learning,4,2,2,0,machine learning,1,2
Redis,3,3,0,0,Redis,1,1
FastAPI,2,2,0,0,FastAPI,1,1
EXCEL,1,1,0,0,EXCEL,1,1
Git,1,1,0,0,Git,1,1
Kafka,1,0,0,1,Kafka,1,1
MACHINE LEARNING,1,1,0,0,MACHINE LEARNING,1,1
MyBatis,1,1,0,0,MyBatis,1,1
SpringBoot,1,1,0,0,SpringBoot,1,1
data visualization,1,1,0,0,data visualization,1,1
kafka,1,0,0,1,kafka,1,1
