token,df_job,df_resume,df_ratio_job,df_ratio_resume,tf_job,tf_resume,tf_total,df_total,df_ratio_total,idf,is_explicit_skill,already_stopword,max_corpus_df_ratio,corpus_balance,stopword_score,reason
负责,56.0,303.0,1.0,0.9237804878048781,122.0,324.0,446.0,359.0,0.9348958333333334,1.0671393028376286,False,False,1.0,0.9237804878048781,5.96301838284649,高文档频率且跨简历/岗位均常见
与,52.0,193.0,0.9285714285714286,0.5884146341463414,100.0,218.0,318.0,245.0,0.6380208333333334,1.4479117983554213,False,True,0.9285714285714286,0.6336772983114446,4.765071060868816,高文档频率且跨简历/岗位均常见
开发,42.0,213.0,0.75,0.649390243902439,128.0,269.0,397.0,255.0,0.6640625,1.4080658898082217,False,False,0.75,0.8658536585365854,4.309150361120902,高文档频率且跨简历/岗位均常见
的,51.0,32.0,0.9107142857142857,0.0975609756097561,163.0,36.0,199.0,83.0,0.21614583333333334,2.5224265354444704,False,True,0.9107142857142857,0.10712577714012435,3.5327500245855346,在单侧语料中高文档频率，可能是模板套话
核心,48.0,73.0,0.8571428571428571,0.2225609756097561,59.0,73.0,132.0,121.0,0.3151041666666667,2.149222289554528,False,False,0.8571428571428571,0.2596544715447155,3.260729738847858,高文档频率且跨简历/岗位均常见
公司,34.0,180.0,0.6071428571428571,0.5487804878048781,36.0,197.0,233.0,214.0,0.5572916666666666,1.5826053061601215,False,False,0.6071428571428571,0.9038737446197993,3.216643608872498,高文档频率且跨简历/岗位均常见
数据,30.0,156.0,0.5357142857142857,0.47560975609756095,116.0,267.0,383.0,186.0,0.484375,1.7221347174331973,False,False,0.5357142857142857,0.8878048780487805,3.0805460531384026,高文档频率且跨简历/岗位均常见
业务,41.0,72.0,0.7321428571428571,0.21951219512195122,75.0,72.0,147.0,113.0,0.2942708333333333,2.217044885893289,False,False,0.7321428571428571,0.2998215348007139,2.890156001015404,高文档频率且跨简历/岗位均常见
工程师,37.0,103.0,0.6607142857142857,0.31402439024390244,39.0,111.0,150.0,140.0,0.3645833333333333,2.004483443909616,False,False,0.6607142857142857,0.4752801582069875,2.7931563969585524,高文档频率且跨简历/岗位均常见
科技,0.0,231.0,0.0,0.7042682926829268,0.0,237.0,237.0,231.0,0.6015625,1.5065059626214743,False,False,0.7042682926829268,0.0,2.6977627071118215,在单侧语料中高文档频率，可能是模板套话
技术,15.0,186.0,0.26785714285714285,0.5670731707317073,18.0,208.0,226.0,201.0,0.5234375,1.6449756368865796,False,False,0.5670731707317073,0.47235023041474655,2.5893740087795596,高文档频率且跨简历/岗位均常见
优化,39.0,56.0,0.6964285714285714,0.17073170731707318,43.0,56.0,99.0,95.0,0.24739583333333334,2.388895142819948,False,False,0.6964285714285714,0.24515322076297688,2.480895036171024,高文档频率且跨简历/岗位均常见
经验,43.0,0.0,0.7678571428571429,0.0,49.0,0.0,49.0,43.0,0.11197916666666667,3.169053700369523,False,False,0.7678571428571429,0.0,2.1027123654176285,在单侧语料中高文档频率，可能是模板套话
年,41.0,8.0,0.7321428571428571,0.024390243902439025,41.0,12.0,53.0,49.0,0.12760416666666666,3.0412203288596382,False,False,0.7321428571428571,0.03331350386674599,2.0735420120097827,在单侧语料中高文档频率，可能是模板套话
及,36.0,10.0,0.6428571428571429,0.03048780487804878,59.0,10.0,69.0,46.0,0.11979166666666667,3.1030957325777258,False,True,0.6428571428571429,0.04742547425474254,1.9506810471116878,在单侧语料中高文档频率，可能是模板套话
以上,41.0,0.0,0.7321428571428571,0.0,41.0,0.0,41.0,41.0,0.10677083333333333,3.2155737160044158,False,False,0.7321428571428571,0.0,1.9155556793702262,在单侧语料中高文档频率，可能是模板套话
和,23.0,71.0,0.4107142857142857,0.21646341463414634,31.0,75.0,106.0,94.0,0.24479166666666666,2.3993664426872434,False,True,0.4107142857142857,0.5270413573700955,1.6468872355603545,高文档频率且跨简历/岗位均常见
专业,35.0,0.0,0.625,0.0,35.0,0.0,35.0,35.0,0.09114583333333333,3.3697243958316743,False,False,0.625,0.0,1.567789535574548,在单侧语料中高文档频率，可能是模板套话
系统,21.0,61.0,0.375,0.18597560975609756,44.0,70.0,114.0,82.0,0.21354166666666666,2.5344027264911864,False,False,0.375,0.4959349593495935,1.5102771774424493,高文档频率且跨简历/岗位均常见
大,18.0,69.0,0.32142857142857145,0.21036585365853658,60.0,105.0,165.0,87.0,0.2265625,2.4759065198095778,False,False,0.32142857142857145,0.6544715447154471,1.4728135548771137,高文档频率且跨简历/岗位均常见
要求,33.0,0.0,0.5892857142857143,0.0,33.0,0.0,33.0,33.0,0.0859375,3.426882809671623,False,False,0.5892857142857143,0.0,1.4546237164041664,在单侧语料中高文档频率，可能是模板套话
研发,29.0,10.0,0.5178571428571429,0.03048780487804878,36.0,10.0,46.0,39.0,0.1015625,3.264363880173848,False,False,0.5178571428571429,0.05887300252312867,1.4308932702696835,在单侧语料中高文档频率，可能是模板套话
使用,15.0,101.0,0.26785714285714285,0.3079268292682927,16.0,102.0,118.0,116.0,0.3020833333333333,2.1910693994900283,False,False,0.3079268292682927,0.8698727015558698,1.414170950008699,高文档频率且跨简历/岗位均常见
后,24.0,28.0,0.42857142857142855,0.08536585365853659,47.0,28.0,75.0,52.0,0.13541666666666666,2.982951420735662,False,False,0.42857142857142855,0.19918699186991873,1.4101290266542077,在单侧语料中高文档频率，可能是模板套话
在,0.0,132.0,0.0,0.4024390243902439,0.0,145.0,145.0,132.0,0.34375,2.0628942060660305,False,True,0.4024390243902439,0.0,1.4039184507495435,在单侧语料中高文档频率，可能是模板套话
设计,30.0,5.0,0.5357142857142857,0.01524390243902439,33.0,5.0,38.0,35.0,0.09114583333333333,3.3697243958316743,False,False,0.5357142857142857,0.028455284552845527,1.3905897101925027,在单侧语料中高文档频率，可能是模板套话
熟悉,29.0,6.0,0.5178571428571429,0.018292682926829267,34.0,6.0,40.0,35.0,0.09114583333333333,3.3697243958316743,False,False,0.5178571428571429,0.0353238015138772,1.3665492330829572,在单侧语料中高文档频率，可能是模板套话
端,23.0,27.0,0.4107142857142857,0.08231707317073171,46.0,27.0,73.0,50.0,0.13020833333333334,3.0214177015634585,False,False,0.4107142857142857,0.20042417815482505,1.3437081266588626,高文档频率且跨简历/岗位均常见
参与,25.0,19.0,0.44642857142857145,0.057926829268292686,28.0,19.0,47.0,44.0,0.11458333333333333,3.1465808445174646,False,False,0.44642857142857145,0.12975609756097561,1.2770242359153468,在单侧语料中高文档频率，可能是模板套话
某某,0.0,117.0,0.0,0.3567073170731707,0.0,134.0,134.0,117.0,0.3046875,2.1825587098221195,False,False,0.3567073170731707,0.0,1.2248231840064248,在单侧语料中高文档频率，可能是模板套话
担任,0.0,116.0,0.0,0.35365853658536583,0.0,124.0,124.0,116.0,0.3020833333333333,2.1910693994900283,False,False,0.35365853658536583,0.0,1.1953020593565453,在单侧语料中高文档频率，可能是模板套话
有,26.0,0.0,0.4642857142857143,0.0,28.0,0.0,28.0,26.0,0.06770833333333333,3.657406468283455,False,True,0.4642857142857143,0.0,1.0943711447456042,在单侧语料中高文档频率，可能是模板套话
搭建,16.0,57.0,0.2857142857142857,0.17378048780487804,17.0,57.0,74.0,73.0,0.19010416666666666,2.6491782410836144,False,False,0.2857142857142857,0.6082317073170732,1.088586179845893,高文档频率且跨简历/岗位均常见
具备,25.0,0.0,0.44642857142857145,0.0,29.0,0.0,29.0,25.0,0.06510416666666667,3.695146796266302,False,False,0.44642857142857145,0.0,1.0628741817694236,在单侧语料中高文档频率，可能是模板套话
后端,16.0,50.0,0.2857142857142857,0.1524390243902439,21.0,50.0,71.0,66.0,0.171875,2.748550714896818,False,False,0.2857142857142857,0.5335365853658537,1.0509124670508965,高文档频率且跨简历/岗位均常见
扎实,25.0,0.0,0.44642857142857145,0.0,25.0,0.0,25.0,25.0,0.06510416666666667,3.695146796266302,False,False,0.44642857142857145,0.0,1.0181551681317131,在单侧语料中高文档频率，可能是模板套话
至今,0.0,102.0,0.0,0.31097560975609756,0.0,102.0,102.0,102.0,0.265625,2.3185143460581488,False,False,0.31097560975609756,0.0,1.0089013712182804,在单侧语料中高文档频率，可能是模板套话
计算机,15.0,44.0,0.26785714285714285,0.13414634146341464,17.0,45.0,62.0,59.0,0.15364583333333334,2.8588987720656833,False,False,0.26785714285714285,0.5008130081300813,0.9435736709190471,高文档频率且跨简历/岗位均常见
以上学历,23.0,0.0,0.4107142857142857,0.0,23.0,0.0,23.0,23.0,0.059895833333333336,3.775189503939839,False,False,0.4107142857142857,0.0,0.9136904762250343,在单侧语料中高文档频率，可能是模板套话
进行,14.0,47.0,0.25,0.14329268292682926,17.0,47.0,64.0,61.0,0.15885416666666666,2.826108949242693,False,False,0.25,0.573170731707317,0.9099655176754207,高文档频率且跨简历/岗位均常见
师,9.0,70.0,0.16071428571428573,0.21341463414634146,9.0,85.0,94.0,79.0,0.20572916666666666,2.5712166996139025,False,False,0.21341463414634146,0.753061224489796,0.8998667010971972,高文档频率且跨简历/岗位均常见
相关,21.0,0.0,0.375,0.0,29.0,0.0,29.0,21.0,0.0546875,3.8622008809294686,False,False,0.375,0.0,0.8928143126863157,在单侧语料中高文档频率，可能是模板套话
