token,df_job,df_resume,df_ratio_job,df_ratio_resume,tf_job,tf_resume,tf_total,df_total,df_ratio_total,idf
Python,46.0,267.0,0.8214285714285714,0.8140243902439024,117.0,439.0,556.0,313.0,0.8151041666666666,1.2038503483795309
负责,56.0,303.0,1.0,0.9237804878048781,122.0,324.0,446.0,359.0,0.9348958333333334,1.0671393028376286
SQL,55.0,317.0,0.9821428571428571,0.9664634146341463,90.0,331.0,421.0,372.0,0.96875,1.0316649146439687
开发,42.0,213.0,0.75,0.649390243902439,128.0,269.0,397.0,255.0,0.6640625,1.4080658898082217
Data,18.0,150.0,0.32142857142857145,0.4573170731707317,71.0,314.0,385.0,168.0,0.4375,1.8233446193647107
数据,30.0,156.0,0.5357142857142857,0.47560975609756095,116.0,267.0,383.0,186.0,0.484375,1.7221347174331973
与,52.0,193.0,0.9285714285714286,0.5884146341463414,100.0,218.0,318.0,245.0,0.6380208333333334,1.4479117983554213
Analysis,13.0,111.0,0.23214285714285715,0.3384146341463415,43.0,220.0,263.0,124.0,0.3229166666666667,2.124929596985483
科技,0.0,231.0,0.0,0.7042682926829268,0.0,237.0,237.0,231.0,0.6015625,1.5065059626214743
公司,34.0,180.0,0.6071428571428571,0.5487804878048781,36.0,197.0,233.0,214.0,0.5572916666666666,1.5826053061601215
技术,15.0,186.0,0.26785714285714285,0.5670731707317073,18.0,208.0,226.0,201.0,0.5234375,1.6449756368865796
Linux,38.0,165.0,0.6785714285714286,0.5030487804878049,51.0,165.0,216.0,203.0,0.5286458333333334,1.6351233404435677
Spark,39.0,79.0,0.6964285714285714,0.24085365853658536,67.0,146.0,213.0,118.0,0.3072916666666667,2.174119841176255
的,51.0,32.0,0.9107142857142857,0.0975609756097561,163.0,36.0,199.0,83.0,0.21614583333333334,2.5224265354444704
Pandas,21.0,151.0,0.375,0.4603658536585366,26.0,151.0,177.0,172.0,0.4479166666666667,1.7999517397900053
Tableau,15.0,121.0,0.26785714285714285,0.36890243902439024,19.0,152.0,171.0,136.0,0.3541666666666667,2.0332624084596596
大,18.0,69.0,0.32142857142857145,0.21036585365853658,60.0,105.0,165.0,87.0,0.2265625,2.4759065198095778
